date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:11:05	1903/1903	---M-Z	404	error ('Not%20Found')	text/html	etag:%22119f-68074818-b6eb169864e42c47;gz%22	https://demo.epic-webdesign.com/robots.txt		(from )
09:11:06	38546/38546	---M-Z	200	added ('OK')	text/html	etag:%229692-673c8fa6-8424a5fb624aead0;gz%22	https://demo.epic-webdesign.com/tf-14-landing/?storefront=envato-elements	C:/My%20Web%20Sites/homepage/demo.epic-webdesign.com/tf-14-landing/index04b9.html	(from )
09:11:06	1128/1128	---M--	200	added ('OK')	image/png	etag:%22468-673c90aa-c7cd40b9d454876e;;;%22	https://demo.epic-webdesign.com/tf-14-landing/lib/images/favicon.png	C:/My%20Web%20Sites/homepage/demo.epic-webdesign.com/tf-14-landing/lib/images/favicon.png	(from https://demo.epic-webdesign.com/tf-14-landing/?storefront=envato-elements)
09:11:07	35251/35251	---M-Z	200	added ('OK')	text/css	etag:%2289b3-673c90a7-d761c2263551445f;gz%22	https://demo.epic-webdesign.com/tf-14-landing/lib/css/style.css	C:/My%20Web%20Sites/homepage/demo.epic-webdesign.com/tf-14-landing/lib/css/style.css	(from https://demo.epic-webdesign.com/tf-14-landing/?storefront=envato-elements)
09:11:07	51129/51129	---M-Z	200	added ('OK')	text/css	etag:%22c7b9-673c90a6-4025d63c7be37b83;gz%22	https://demo.epic-webdesign.com/tf-14-landing/lib/css/animate.css	C:/My%20Web%20Sites/homepage/demo.epic-webdesign.com/tf-14-landing/lib/css/animate.css	(from https://demo.epic-webdesign.com/tf-14-landing/?storefront=envato-elements)
09:11:08	21663/21663	---M-Z	200	added ('OK')	text/css	etag:%22549f-673c90a6-96dab7c92a73ffa1;gz%22	https://demo.epic-webdesign.com/tf-14-landing/lib/css/font-awesome.css	C:/My%20Web%20Sites/homepage/demo.epic-webdesign.com/tf-14-landing/lib/css/font-awesome.css	(from https://demo.epic-webdesign.com/tf-14-landing/?storefront=envato-elements)
09:11:08	93106/93106	---M-Z	200	added ('OK')	application/x-javascript	etag:%2216bb2-673c90aa-1dd55827842ad725;gz%22	https://demo.epic-webdesign.com/tf-14-landing/lib/js/jquery-1.10.2.min.js	C:/My%20Web%20Sites/homepage/demo.epic-webdesign.com/tf-14-landing/lib/js/jquery-1.10.2.min.js	(from https://demo.epic-webdesign.com/tf-14-landing/?storefront=envato-elements)
09:11:09	16621/16621	---M-Z	200	added ('OK')	application/x-javascript	etag:%2240ed-673c90ab-c874d8e9c69e1e6f;gz%22	https://demo.epic-webdesign.com/tf-14-landing/lib/js/jquery-migrate-1.2.1.js	C:/My%20Web%20Sites/homepage/demo.epic-webdesign.com/tf-14-landing/lib/js/jquery-migrate-1.2.1.js	(from https://demo.epic-webdesign.com/tf-14-landing/?storefront=envato-elements)
09:11:09	38546/38546	---M-Z	200	added ('OK')	text/html	etag:%229692-673c8fa6-8424a5fb624aead0;gz%22	https://demo.epic-webdesign.com/tf-14-landing/index.html	C:/My%20Web%20Sites/homepage/demo.epic-webdesign.com/tf-14-landing/index.html	(from https://demo.epic-webdesign.com/tf-14-landing/?storefront=envato-elements)
09:11:11	326963/326963	---M--	200	added ('OK')	image/png	date:Wed,%2028%20May%202025%2003:41:10%20GMT	https://demo.epic-webdesign.com/tf-14-landing/lib/images/3.png	C:/My%20Web%20Sites/homepage/demo.epic-webdesign.com/tf-14-landing/lib/images/3.png	(from https://demo.epic-webdesign.com/tf-14-landing/?storefront=envato-elements)
09:11:12	349948/349948	---M--	200	added ('OK')	image/png	date:Wed,%2028%20May%202025%2003:41:12%20GMT	https://demo.epic-webdesign.com/tf-14-landing/lib/images/1.png	C:/My%20Web%20Sites/homepage/demo.epic-webdesign.com/tf-14-landing/lib/images/1.png	(from https://demo.epic-webdesign.com/tf-14-landing/?storefront=envato-elements)
09:11:13	349280/349280	---M--	200	added ('OK')	image/png	date:Wed,%2028%20May%202025%2003:41:13%20GMT	https://demo.epic-webdesign.com/tf-14-landing/lib/images/ipad.png	C:/My%20Web%20Sites/homepage/demo.epic-webdesign.com/tf-14-landing/lib/images/ipad.png	(from https://demo.epic-webdesign.com/tf-14-landing/?storefront=envato-elements)
09:11:14	15366/15366	---M-Z	200	added ('OK')	application/x-javascript	etag:%223c06-673c90ab-a9f31acb6b91ddb0;gz%22	https://demo.epic-webdesign.com/tf-14-landing/lib/js/modernizr-2.6.1.min.js	C:/My%20Web%20Sites/homepage/demo.epic-webdesign.com/tf-14-landing/lib/js/modernizr-2.6.1.min.js	(from https://demo.epic-webdesign.com/tf-14-landing/?storefront=envato-elements)
09:11:14	98/98	---M--	200	added ('OK')	application/x-javascript	etag:%2262-673c90aa-e3f54a6db851dfe;;;%22	https://demo.epic-webdesign.com/tf-14-landing/lib/js/conditional.js	C:/My%20Web%20Sites/homepage/demo.epic-webdesign.com/tf-14-landing/lib/js/conditional.js	(from https://demo.epic-webdesign.com/tf-14-landing/?storefront=envato-elements)
09:11:15	18174/18174	---M-Z	200	added ('OK')	application/x-javascript	etag:%2246fe-673c90ac-133b14e2a7008648;gz%22	https://demo.epic-webdesign.com/tf-14-landing/lib/js/script.js	C:/My%20Web%20Sites/homepage/demo.epic-webdesign.com/tf-14-landing/lib/js/script.js	(from https://demo.epic-webdesign.com/tf-14-landing/?storefront=envato-elements)
09:11:15	3078/3078	---M-Z	200	added ('OK')	application/x-javascript	etag:%22c06-673c90ab-1dd9d335d184de6b;gz%22	https://demo.epic-webdesign.com/tf-14-landing/lib/js/jquery.inview.js	C:/My%20Web%20Sites/homepage/demo.epic-webdesign.com/tf-14-landing/lib/js/jquery.inview.js	(from https://demo.epic-webdesign.com/tf-14-landing/?storefront=envato-elements)
